size,mflop
31,8097.76
32,15020
96,13907.6
97,14003.3
127,15138.5
128,13103
129,14972.8
191,15945.3
192,15101.2
229,16113.1
255,16344.2
256,15150.2
257,15945
319,16404
320,15172.6
321,16223.7
417,15280.5
479,14430.1
480,13501.2
511,13432.1
512,12581.7
639,9931.95
640,9934.28
767,9521.77
768,9655.26
769,9489.91
1023,9497.01
1024,9674.22
1025,9502.61
1525,9536.36
1526,9463.15
1527,9550.93
