size,mflop
31,87677.8
32,92932.2
96,94331.7
97,102365
127,113663
128,111049
129,107203
191,115966
192,105471
229,97775.9
255,95908.9
256,105021
257,101279
319,97517.1
320,104510
321,101796
417,104393
479,104375
480,108618
511,104067
512,106395
639,105588
640,109388
767,108493
768,110354
769,106072
1023,111098
1024,110263
1025,113017
1525,114903
1526,114562
1527,114383
