size,mflop
31,7071.7
32,8066.15
96,7926.9
97,6996.07
127,8385.85
128,2064.72
129,7988.67
191,8477.55
192,1996.94
229,7552.21
255,6842.6
256,2092.44
257,6702.1
319,6618.5
320,2026.29
321,6534.85
417,6310.92
479,6046.79
480,1954.24
511,6061.27
512,1150.8
639,3800.42
640,1725.99
767,3564.51
768,1188.59
769,3544.15
1023,4406.92
1024,622.595
1025,4377.91
1525,3544.94
1526,3621.12
1527,3607.01
