size,mflop
31,9891.59
32,30726.4
96,45899.6
97,33362.3
127,30535.1
128,44923.3
129,35483.5
191,35924.2
192,46161.1
229,40322.8
255,37567.2
256,45494.6
257,41097.1
319,40246.9
320,46339.1
321,42722
417,42780.7
479,41035.7
480,45277.5
511,38748.1
512,42705.1
639,42709.7
640,45687.2
767,42913.6
768,45941.4
769,44208.5
1023,41703.5
1024,43069.3
1025,43072.1
1525,45731.2
1526,45808
1527,45509.7
